track_id,track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
45eEjffcfZfXgILWoY2tZw,Sobre as Águas,0.442,0.447,-7.557,0.0278,0.456,0.0,0.975,0.165,137.987
36j1jTaF9CFdq58TOPnBzC,Judicial Slime,0.221,0.992,-4.898,0.151,3.49e-06,0.207,0.304,0.117,98.179
6aKWvrAFe1NC7YEw8rTcwb,Street Life (Edit),0.55,0.548,-11.171,0.0719,0.258,4.12e-05,0.36,0.819,111.612
2NQ2VeLMFkiPaUzEjU0U4J,Poing-Jump A Little Higher,0.751,0.991,-5.468,0.0723,0.00101,0.179,0.357,0.849,154.857
4B8RTAHSPfYpV222GsmEjq,Zumba,0.718,0.891,-3.494,0.0404,0.00175,0.0146,0.138,0.828,124.981
2sCxUQfUto6uaBe1ZBHFtA,Alright (feat. Russell Dickerson),0.544,0.738,-4.944,0.106,0.368,0.0,0.0993,0.41,146.976
2KK9N6iBAisA0booTu3bGd,Déjala Que Baile (with Alejandro Sanz & Arkano),0.831,0.777,-4.456,0.174,0.356,0.0,0.0796,0.598,95.973
48Yn5OAlrve8PAhxDhTNUQ,Under the Blade,0.304,0.89,-3.992,0.122,0.00143,0.00113,0.104,0.433,194.289
6YtuqK0GShEo9edd4yI8rr,The Zero Hour,0.622,0.906,-6.987,0.258,0.024,0.0133,0.342,0.0615,149.882
5q4gc4nzxSgtwIBnIuCT6M,The Addams Family,0.689,0.546,-9.254,0.0673,0.000464,0.000896,0.239,0.966,120.233
4LUwZxtF980YhwrvxtTeZ7,I Ain't Worried,0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,139.994
6iHbjtE81qfwU4RacVYDqP,Everytime I See You,0.521,0.686,-8.002,0.291,0.0141,0.0,0.0846,0.624,129.378
5VgoYN2PNwcRIbxCzmeri0,Heera,0.66,0.606,-11.409,0.0266,0.557,0.00547,0.0987,0.77,116.007
5nvL2YxmnbQyuu7aGrI68K,messy,0.605,0.238,-12.352,0.16,0.948,0.92,0.111,0.656,79.996
5XaueS6W32nmVOFqYsmoCr,Leech,0.254,0.98,-4.348,0.138,0.00014,0.0659,0.306,0.0399,125.023
4z6ONMu9f0FjhhApyj87KI,Got The Power,0.46,0.882,-4.91,0.0641,0.00203,0.0103,0.0996,0.658,143.926
22f03jCe16N1rYJzO9RqWl,City Beat,0.804,0.947,-8.071,0.0488,0.00984,0.889,0.0647,0.666,122.018
6JN0cjFT0zDRYxzqcKrvwf,Spoonman,0.258,0.904,-5.625,0.0386,2.2e-05,0.218,0.255,0.832,186.054
1ltZgsLlfxgtNh5U74JPu3,Group Therapy (Messages Pt. 9) [ABGT499D3],0.66,0.917,-6.56,0.215,0.068,0.000216,0.683,0.74,138.065
2zNZ81rcbDUvOmKo0borJr,Spaceman (feat. FiNCH),0.508,0.891,-7.492,0.0539,0.000381,0.0,0.403,0.572,79.984
5Yi7LVz0rVo2aYN34Hyv1U,I Feel Free - Remastered,0.371,0.601,-8.431,0.0277,0.137,5.53e-05,0.15,0.596,87.975
7Gn4vU9RUHYV5aA1gMJSPV,Pran,0.619,0.484,-8.715,0.0572,0.116,0.000121,0.19,0.61,90.916
5FcQcDHuwpzP70vhlCqVi2,The Pusher,0.508,0.47,-9.339,0.0262,0.201,0.0553,0.14,0.69,81.016
0u79AwRSmRJdCQwXV7SGSB,Aspettando una nuova vita – Reprise,0.329,0.166,-10.467,0.0381,0.918,0.000221,0.257,0.159,102.277
0H4BGX7L8UfoD0g4wgXd0D,Way Maker - Single Version,0.468,0.655,-6.384,0.0296,0.0149,0.0,0.104,0.222,144.045
5X4tAxxNC5XaSgcIW3xhj7,Chosen Last,0.652,0.546,-6.497,0.0264,0.666,2.28e-06,0.112,0.264,99.03
0Gdc7WEm7QbmFzqDfQCs2M,Tanjiro Kamado,0.677,0.573,-7.982,0.047,0.317,0.0,0.291,0.282,107.059
38YgZVHPWOWsKrsCXz6JyP,Come On Get Higher,0.672,0.623,-5.699,0.0297,0.241,0.0,0.0848,0.617,92.018
7fiDUk7rQAZJ5lPKchOpHM,Nuane,0.698,0.583,-11.091,0.105,0.00189,0.775,0.308,0.408,108.002
1UDViHv1sQpQT4G3Yf18IC,Vaidade,0.494,0.443,-9.212,0.0274,0.674,6.59e-05,0.102,0.191,125.887
5Ag2HVfyE4rzXa8ba47Qqo,Abandoned,0.444,0.545,-6.574,0.0284,0.0391,0.000356,0.184,0.382,126.728
7df1bXJPOQ21YwxjjOYOnj,Videvisan (Sov du lilla videung),0.341,0.212,-12.131,0.0312,0.897,0.00124,0.147,0.268,171.267
2J2Z1SkXYghSajLibnQHOa,Unstoppable,0.468,0.779,-4.839,0.0779,0.112,0.000373,0.101,0.26,173.799
36wWhtZyNc7YSGORYvLZ5X,Sentimento,0.493,0.587,-4.743,0.0603,0.791,0.0,0.0919,0.456,109.967
3AJ0MFDt4OSknQ5D9Jlo4l,Samba Sambei,0.87,0.737,-8.372,0.126,0.268,0.00369,0.0504,0.952,136.07
7I8UTLiBA1ptFm04WulwhH,Prada,0.619,0.712,-6.893,0.0328,0.103,0.0,0.24,0.35,95.025
0vrF0RhqGtoyzHxNpKFVeq,Hyper Kill,0.258,0.997,-3.808,0.245,0.000225,0.565,0.096,0.245,147.567
2okcO5ZSjMwCl3kBOZujX9,Police the Nation,0.753,0.958,-4.088,0.0504,0.0449,0.0,0.383,0.964,167.944
5902W4uHWzhtOff1UK7the,When I’m Gone (with Katy Perry),0.685,0.886,-4.179,0.034,0.028,0.0,0.481,0.615,125.034
6fUyCEJju5st7aDoN1nDN0,Heartless,0.467,0.644,-4.792,0.0382,0.182,0.0,0.0945,0.308,148.049
38Uq4auvCzFYWtYjLeB5xz,BICHOTA,0.863,0.666,-4.158,0.152,0.212,0.000493,0.103,0.838,163.908
46IZ0fSY2mpAiktS3KOqds,Easy On Me,0.604,0.366,-7.519,0.0282,0.578,0.0,0.133,0.13,141.981
2ygHwkk6BE4o1YKF2jhrFX,Hua Hain Aaj Pehli Baar,0.495,0.729,-6.453,0.103,0.6,4.13e-05,0.0993,0.683,155.892
6k0X05danQOXSBTVek5DU1,The Rumbling,0.459,0.878,-1.399,0.0688,5.62e-05,0.000307,0.371,0.494,144.852
7eKlApdNdcu8e2GX4nItcO,都幾歲了 (電視劇【幸福一家人】片尾曲),0.624,0.499,-7.631,0.0276,0.179,0.0,0.17,0.305,115.986
28i8wrtierqlLXenXZqgRL,Vermelhos de Ciclos,0.753,0.728,-6.071,0.0563,0.0159,0.0652,0.107,0.59,144.003
6Ban3mboqGeIUAFnuyZZNM,ポップコーントーン,0.329,0.954,-1.737,0.0706,0.00316,0.338,0.52,0.589,170.064
24BYTj1tb5ovZcnIbtdTYD,Test & Recognise - Flume Re-work,0.544,0.579,-8.52,0.0712,0.193,1.43e-05,0.117,0.294,109.769
7z60LyZVJJXrE6YPJ39ioD,Azimuth,0.668,0.859,-5.947,0.0367,0.0351,0.569,0.248,0.802,118.001
5PXyH5bb5fbVfO8LjByhBb,Hustle Bones,0.6,0.982,-2.996,0.201,0.104,0.0,0.343,0.277,110.015
1Mys1gf9SkMBAVGGxpkJ7d,Reality,0.714,0.697,-7.887,0.032,0.0197,2e-06,0.0697,0.602,122.145
